timestamp, cpu_user, cpu_system, rss, heapTotal, heapUsed, external
1737464922347, 35353428, 6445169, 232206336, 157347840, 151822832, 3060338
1737464922847, 35353428, 6445941, 232206336, 157347840, 151824632, 3060338
1737464923348, 35353869, 6446327, 232206336, 157347840, 151826432, 3060338
1737464923850, 35354640, 6446327, 232206336, 157347840, 151828256, 3060338
1737464924350, 35355435, 6446327, 232206336, 157347840, 151830056, 3060338
1737464924851, 35356261, 6446327, 232206336, 157347840, 151831856, 3060338
1737464925353, 35357059, 6446336, 232206336, 157347840, 151833656, 3060338
1737464925853, 35357715, 6446456, 232206336, 157347840, 151835480, 3060338
1737464926354, 35358386, 6446578, 232206336, 157347840, 151837304, 3060338
1737464926855, 35359036, 6446697, 232206336, 157347840, 151839128, 3060338
1737464927356, 35359036, 6447489, 232206336, 157347840, 151840952, 3060338
1737464927858, 35359036, 6448275, 232206336, 157347840, 151842752, 3060338
1737464928358, 35359036, 6449041, 232206336, 157347840, 151844552, 3060338
1737464928859, 35359036, 6449832, 232206336, 157347840, 151846352, 3060338
1737464929359, 35359036, 6450603, 232206336, 157347840, 151848152, 3060338
1737464929860, 35359732, 6450735, 232206336, 157347840, 151849952, 3060338
1737464930361, 35360501, 6450735, 232206336, 157347840, 151851776, 3060338
1737464930862, 35361300, 6450735, 232206336, 157347840, 151853576, 3060338
1737464931363, 35362071, 6450735, 232206336, 157347840, 151855376, 3060338
1737464931863, 35362835, 6450735, 232206336, 157347840, 151857176, 3060338
1737464932364, 35363222, 6451175, 232206336, 157347840, 151858976, 3060338
1737464932866, 35363222, 6451942, 232206336, 157347840, 151860800, 3060338
1737464933366, 35363222, 6452726, 232206336, 157347840, 151862600, 3060338
1737464933867, 35363222, 6453490, 232206336, 157347840, 151864400, 3060338
1737464934368, 35363222, 6454284, 232206336, 157347840, 151866200, 3060338
1737464934869, 35363506, 6454768, 232206336, 157347840, 151868000, 3060338
1737464935370, 35364162, 6454887, 232206336, 157347840, 151869824, 3060338
1737464935870, 35364830, 6455009, 232206336, 157347840, 151871648, 3060338
1737464936371, 35365494, 6455130, 232206336, 157347840, 151873472, 3060338
1737464936873, 35366164, 6455253, 232206336, 157347840, 151875296, 3060338
1737464937373, 35366812, 6455371, 232206336, 157347840, 151877120, 3060338
1737464937874, 35367480, 6455493, 232206336, 157347840, 151878944, 3060338
1737464938375, 35368130, 6455612, 232206336, 157347840, 151880768, 3060338
1737464938876, 35368130, 6456430, 232206336, 157347840, 151882592, 3060338
1737464939378, 35368130, 6457203, 232206336, 157347840, 151884392, 3060338
1737464939878, 35368130, 6457971, 232206336, 157347840, 151886192, 3060338
1737464940379, 35368130, 6458753, 232206336, 157347840, 151887992, 3060338
1737464940880, 35368130, 6459527, 232206336, 157347840, 151889792, 3060338
